"","FOODEX2_INGR_CODE","INGREDIENT_ENG"
"183","A01BK","COCONUT, milk"
"184","A01BY","LEMON"
"185","A01BY#F10.A0CQM","LEMON SWEET"
"186","A01CA","LIME"
"187","A01CR","ORANGE"
"188","A01DJ","APPLE"
"189","A01DL","LOQUAT"
"190","A01DP","PEARS"
"191","A01DX#F10.A0F2Q","GRAPES, Pale green variety"
"192","A01DX#F10.A169P","GRAPES, blue variety"
"193","A01EA","STRAWBERRY"
"194","A01EP","RASPBERRY"
"195","A01HF#F10.A166Y","DATES fresh"
"196","A01HG","FIGS (Ficus carcia)"
"197","A01HN","BILIMBI"
"198","A01HQ","PERSIMMON"
"199","A01HZ","TREE TOMATO"
"200","A01JJ","AMBADA"
"201","A01JP","HARFAROWRIE"
"202","A01JQ","AMLA"
"203","A01JV","LICHI"
"204","A01JX","MANGOSTEEN"
"205","A01KB","JAMBU FRUIT"
"206","A01KT","SAPOTA"
"207","A01KZ","WOOD APPLE"
"208","A01LA#F01.A13VM","PALMYRA FRUIT, tender"
"209","A01LB","AVOCADO PEAR"
"210","A01LC#F10.A07XL","BANANA RIPE"
"211","A01LE#F10.A0F2Q$F10.A07XM","PLANTAIN, green"
"212","A01LF#F10.A07XL","MANGO RIPE"
"213","A01LF#F10.A0F2Q","MANGO GREEN"
"214","A01LG#F10.A07XL","PAPAYA, ripe"
"215","A01LG#F10.A0F2Q$F10.A07XM","PAPAYA GREEN"
"216","A01LH","POMEGRANATE"
"217","A01LL","SEETHAPHAL"
"218","A01LP","PINE APPLE"
"219","A01LQ","BREAD FRUIT"
"220","A01LR","JACK FRUIT"
"221","A01MB","PRUNES"
"222","A01ME","RAISINS"
"223","A01MF","DATES, dried"
"224","A01MK#F03.A06JD","MANGO POWDER"
"225","A01QE#F01.A05XA","LIME PEEL"
"226","A01QX","BEEF meal"
"227","A01QZ","BUFFALO MEAT"
"228","A01RG","PORK, muscle"
"229","A01RJ","MUTTON, muscle"
"230","A01RL#F10.A077C","GOAT MEAT (lean)"
"231","A01SA","VENISON"
"232","A01SP","FOWL"
"233","A01SR","DUCK"
"234","A01XK","LIVER SHEEP"
"235","A026T","Other Fish & Sea foods"
"236","A026V","TUNNY"
"237","A026V#F01.A07ZC","SINGHI"
"238","A026V#F01.A08H8","BHOLA"
"239","A026V#F01.A09KQ","BIG JAWED JUMPER"
"240","A026Y","PUTI"
"241","A026Y#F01.A07Y6","SARPUTI"
"242","A027C#F01.A07Z4","MRIGAL"
"243","A027H#F01.A07YS","BATA, small varieties"
"244","A027H#F01.A0JVC","BHANGAN BATA"
"245","A027J","CAT FISH"
"246","A027J#F01.A07ZD","AIR"
"247","A027J#F01.A0810","BOAL"
"248","A027J#F01.A0LBB","TENGRA fresh"
"249","A028F","BHEKTI fresh"
"250","A029S#F01.A09TJ","SILVER BELLY"
"251","A02AD","MULLET"
"252","A02BF","SOLE (malahar)"
"253","A02CR","SURMAI fresh"
"254","A02CS","SEER"
"255","A02DA","SARDINE"
"256","A02DC","OIL SARDINE"
"257","A02DD","ANCHOVY"
"258","A02DE","HERRING, Indian"
"259","A02DJ","SHARK"
"260","A02FH","PRAWN"
"261","A02FL","CRAB muscle"
"262","A02FP","LOBSTER"
"263","A02JP","MANDELI, dried"
"264","A02JP#F01.A0JXY$F27.A0F1C","CHELA dried"
"265","A02JP#F01.A0LBB$F27.A027J","TENGRA dried"
"266","A02JP#F27.A028F","BHEKTI dried"
"267","A02JP#F27.A0FBF","BOMBAY DUCK, dried"
"268","A02JP#F27.A0FBG","RIBBON FISH dried"
"269","A02LM","SNAIL, big"
"270","A02LN","SNAIL, small"
"271","A02LR","Other Milk & MIlk products"
"272","A02LT#F10.A077H","SKIMMED MILK, liquid"
"273","A02LV","MILK cows"
"274","A02MB","MILK goats"
"275","A02MD","MILK buffalo"
"276","A02MG","MILK ass"
"277","A02MJ","MILK human"
"278","A02MV","BUTTER MILK"
"279","A02NG","CURDS(cow milk)"
"280","A02PF#F27.A02LY","KHOA (whole cow milk)"
"281","A02PF#F27.A02MD$F10.A077A","KHOA (whole buffalo milk)"
"282","A02PF#F27.A02MD$F10.A077H","KHOA (skimmed buffalo milk)"
"283","A02PK#F27.A02LV","WHOLE MILK POWDER (cow milk)"
"284","A02PL#F27.A02LV","SKIMMED MILK POWDER (cow milk)"
"285","A02QE","CHEESE"
"286","A031F#F01.A04ST","EGG, turtle"
"287","A031G","EGG, hen"
"288","A031H","EGG, duck"
"289","A032L","SUGAR CANE"
"290","A032M#F27.A014K","JAGGERY (coconut)"
"291","A032P","JAGGERY (cane)"
"292","A033J","HONEY"
"293","A036G","Sweet"
"294","A036N","COOKING OIL (Gnut,ging,palm,must,"
"295","A036N#F10.A0F6C","HYDROGENATED OIL (fortified)"
"296","A036T#F27.A015Q","MUSTARD OIL"
"297","A036V","Rape seed oil, edible"
"298","A036X","Soya bean oil, refined"
"299","A036Z","Cotton seed oil, edible"
"300","A037A","GROUNDNUT OIL"
"301","A037C","GINGELLY OIL/TIL OIL"
"302","A037D","SUNFLOWER OIL"
"303","A037E","ALMOND OIL"
"304","A037G","Linseed oil"
"305","A037L#F27.A001D","Rice bran oil"
"306","A037M","COCONUT OIL"
"307","A037N","PALMOLEIN OIL"
"308","A038S","GHEE (buffalo)"
"309","A038Y","GHEE (cow)"
"310","A039C","BUTTER"
"311","A039J","MIXED OILS (MIXED AT HH LEVEL)"
"312","A03AM","ORANGE JUICE"
"313","A03DJ","OTher Non alcoholic beverages"
"314","A03HH","Bournvita"
"315","A03LZ","Other Alcoholic beverages"
"316","A03NC#F27.A0CXG","TODDY, fermented"
"317","A03PZ","Amul spray"
"318","A03VD#F28.A07GV$F04.A185Q","Bajji'"
"319","A040C#F04.A012J$F04.A00ZT","samosa"
"320","A041H","Biryani"
"321","A042P","Common salt"
"322","A042R","Iodized salt"
"323","A045Y","Pickle"
"324","A048Z#F03.A06JD","YEAST DRIED (food)"
"325","A04RG","Other Pulses & legumes"
"326","A04RH","Other Nuts & Oilseeds"
"327","A04RK","Other Fruits"
"328","A04RK#F26.A07XE","KORUKKAPALLI"
"329","A04RN#F01.A081P","BACHA"
"330","A051M","MACKEREL"
"331","A05FY","BATHUA LEAVES"
"332","A06HL#F04.A003F","Chagodi(Muruku)"
"333","A0BAJ","FIELD BEANS, tender"
"334","A0BY8#F27.A010V$F03.A06JL","SUGAR CANE JUICE"
"335","A0BY8#F27.A0CXG$F03.A06JL","TODDY, sweet"
"336","A0C6D#F04.A003X$F04.A02LT$F04.A043N$F04.A032H","Horlicks"
"337","A0C6D#F04.A02LT$F04.A043N","Viva"
"338","A0C76#F01.A0875","RAVAS"
"339","A0CGD","GUAVA, country"
"340","A0CGZ#F26.A07XE","MANGO GINGER"
"341","A0DCH","SOYABEAN"
"342","A0DEM","PLANTAIN FLOWER"
"343","A0DFE","DRUM STICK"
"344","A0DJF","FENUGREEK LEAVES"
"345","A0DJT","BEET GREENS"
"346","A0DKA","COW PEA LEAVES"
"347","A0DKD","AMARANTH, viridis"
"348","A0DKE","AMARANTH, tender gangeticus"
"349","A0DLX","PARWAR"
"350","A0DLY","KOVAI"
"351","A0DMD","SUNDAKAI, dry"
"352","A0DMK","GIANT CHILLIES (capsicum)"
"353","A0DMN","TOMATILO"
"354","A0DMT","CAPE GOOSEBERRY"
"355","A0DMX#F10.A07XL","TOMATO RIPE"
"356","A0DMX#F10.A0F2Q","TOMOTO, green"
"357","A0DPD","LOTUS ROOT"
"358","A0DPS","LAKUCH"
"359","A0DRY","FIGS, red (Ficus cunia)"
"360","A0DSE","PHALSA"
"361","A0DXS","CHILGOZA"
"362","A0DYC","ARECANUT"
"363","A0DYS","LIME, sweet, musambi"
"364","A0ESZ#F01.A05DR","PUMPKIN flowers"
"365","A0ESZ#F01.A0E7V","DRUMSTICK flowers"
"366","A0ETG","MUSHROOM"
"367","A0ETM","SAGO"
"368","A0EYH","Other Meat & Poultry"
"369","A0F0N#F27.A014K","COCONUT, dry"
"370","A0F0N#F27.A014K$F03.A06JD$F07.A06YH","COCONUT, meal deoiled"
"371","A0F0N#F27.A015H$F07.A06YH","GROUNDNUT CAKE"
"372","A0F1C#F01.A0JXY","CHELA"
"373","A0F4S","COCONUT, water"
"374","A0F6P","RICE, bran"
"375","A0F8D","ROHU"
"376","A0F8E","KALABASU"
"377","A0F8F","KATLA"
"378","A0F8N","PANGAS"
"379","A0F8Q#F01.A081B","MAGUR"
"380","A0F8Y","LATA"
"381","A0F9M","KOI"
"382","A0FAJ","HILSA"
"383","A0FBG","RIBBON FISH fresh"
"384","A0FCY","BLUE MUSSEL"
"385","A0FDD","CHINGRI small dried"
"386","A16FL","WATER CHESTNUT, dry"
"387","A16PT","KANKODA"
"388","A16QB","JAGGERY (date palm)"
"389","A16QL","PUMPKIN LEAVES"
"390","A16QM","PUNNAKU KEERAI"
"391","A16RD#F27.A00ZZ$F03.A06JA","TAPIOCA, chips, dried"
"392","A16RD#F27.A010G$F03.A06JD","ARROW ROOT FLOUR"
"393","A176G","BAEL FRUIT"
