SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_11,adm2_10,adm2_4,adm2_5,adm2_3,adm2_7,adm2_8,adm2_12,adm2_6,adm2_2,adm2_1
1921,10300,1,35,17,2058,0,2,0,0,0,0,0,0,0,0,0,0,1,0
1940,113,1,24,29,1346,0,3,0,0,0,0,0,1,0,0,0,0,0,0
1948,6099,1,38,13,2650,0,6,0,0,0,0,0,0,0,0,0,1,0,0
1964,2307,1,45,21,3374,0,6,0,0,0,0,0,0,0,0,0,1,0,0
1968,11017,1,27,21,750,0,12,0,0,0,0,0,0,0,0,1,0,0,0
1989,2492,1,65,27,2112,0,11,0,1,0,0,0,0,0,0,0,0,0,0
2002,5995,1,36,30,1902,0,5,0,0,0,0,1,0,0,0,0,0,0,0
2034,500,1,58,18,1142,0,10,0,0,1,0,0,0,0,0,0,0,0,0
2074,5346,1,55,2,2296,0,3,0,0,0,0,0,1,0,0,0,0,0,0
2115,11109,1,45,6,2070,0,11,0,1,0,0,0,0,0,0,0,0,0,0
2148,5386,1,20,20,2072,0,5,0,0,0,0,1,0,0,0,0,0,0,0
2244,3533,1,45,21,1644,0,6,0,0,0,0,0,0,0,0,0,1,0,0
2303,11819,1,30,6,2486,0,7,0,0,0,0,0,0,1,0,0,0,0,0
2318,5711,1,20,24,1419,0,10,0,0,1,0,0,0,0,0,0,0,0,0
2324,4468,1,50,29,2458,0,5,0,0,0,0,1,0,0,0,0,0,0,0
2382,7193,1,61,19,2737,0,11,0,1,0,0,0,0,0,0,0,0,0,0
2404,387,1,80,11,2050,0,7,0,0,0,0,0,0,1,0,0,0,0,0
2417,10847,1,32,18,2261,0,12,0,0,0,0,0,0,0,0,1,0,0,0
2420,6493,1,75,25,1538,0,6,0,0,0,0,0,0,0,0,0,1,0,0
2484,2547,1,53,27,2054,0,5,0,0,0,0,1,0,0,0,0,0,0,0
2497,7042,1,21,20,2396,0,7,0,0,0,0,0,0,1,0,0,0,0,0
2501,715,1,40,20,1550,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2535,430,1,18,16,1894,0,8,0,0,0,0,0,0,0,1,0,0,0,0
2594,11792,1,39,30,925,0,5,0,0,0,0,1,0,0,0,0,0,0,0
2596,5330,1,54,8,1865,0,7,0,0,0,0,0,0,1,0,0,0,0,0
2598,5392,1,50,8,2010,0,8,0,0,0,0,0,0,0,1,0,0,0,0
2665,2770,1,62,14,2609,0,9,1,0,0,0,0,0,0,0,0,0,0,0
2699,3364,1,42,21,2013,0,4,0,0,0,1,0,0,0,0,0,0,0,0
2748,8077,1,60,11,2598,0,8,0,0,0,0,0,0,0,1,0,0,0,0
2771,19,1,40,21,2799,0,4,0,0,0,1,0,0,0,0,0,0,0,0
2773,1161,1,70,12,3640,0,9,1,0,0,0,0,0,0,0,0,0,0,0
2845,2946,1,23,13,2544,0,2,0,0,0,0,0,0,0,0,0,0,1,0
2849,341,1,19,22,2879,0,10,0,0,1,0,0,0,0,0,0,0,0,0
2871,886,1,18,20,4196,0,2,0,0,0,0,0,0,0,0,0,0,1,0
2875,10287,1,60,29,2304,0,10,0,0,1,0,0,0,0,0,0,0,0,0
2933,1655,1,37,25,1142,0,11,0,1,0,0,0,0,0,0,0,0,0,0
2971,2452,1,35,21,3753,0,12,0,0,0,0,0,0,0,0,1,0,0,0
3028,3765,1,72,23,3208,0,11,0,1,0,0,0,0,0,0,0,0,0,0
3075,2939,1,39,11,1882,0,12,0,0,0,0,0,0,0,0,1,0,0,0
3082,3934,1,43,20,1751,0,4,0,0,0,1,0,0,0,0,0,0,0,0
3118,2759,1,56,17,2509,0,12,0,0,0,0,0,0,0,0,1,0,0,0
3143,9002,1,45,13,4684,0,5,0,0,0,0,1,0,0,0,0,0,0,0
3164,9147,1,18,26,1240,0,12,0,0,0,0,0,0,0,0,1,0,0,0
3187,1111,1,32,21,1252,0,5,0,0,0,0,1,0,0,0,0,0,0,0
3208,1507,1,35,12,2177,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3221,8925,1,50,10,964,0,9,1,0,0,0,0,0,0,0,0,0,0,0
3227,2400,1,30,25,1617,0,6,0,0,0,0,0,0,0,0,0,1,0,0
3259,3755,1,25,18,2162,0,10,0,0,1,0,0,0,0,0,0,0,0,0
3271,7740,1,38,12,2345,0,10,0,0,1,0,0,0,0,0,0,0,0,0
3329,5254,1,22,22,1754,0,9,1,0,0,0,0,0,0,0,0,0,0,0
3350,8169,1,35,18,3065,0,6,0,0,0,0,0,0,0,0,0,1,0,0
3351,1897,1,34,18,2749,0,4,0,0,0,1,0,0,0,0,0,0,0,0
3359,11251,1,18,16,2102,0,6,0,0,0,0,0,0,0,0,0,1,0,0
3372,9655,1,47,12,1826,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3543,6935,1,51,17,2841,0,2,0,0,0,0,0,0,0,0,0,0,1,0
3561,8631,1,40,1,1493,1,7,0,0,0,0,0,0,1,0,0,0,0,0
3580,2427,1,33,19,1541,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3663,2115,1,35,8,1545,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3670,9984,1,28,16,3381,0,6,0,0,0,0,0,0,0,0,0,1,0,0
3679,3977,1,48,22,1642,0,12,0,0,0,0,0,0,0,0,1,0,0,0
3694,5986,1,68,2,1798,0,6,0,0,0,0,0,0,0,0,0,1,0,0
3752,1234,1,58,10,1684,0,9,1,0,0,0,0,0,0,0,0,0,0,0
3801,7092,1,35,13,3444,0,6,0,0,0,0,0,0,0,0,0,1,0,0
3836,7098,1,54,22,2401,0,10,0,0,1,0,0,0,0,0,0,0,0,0
3847,6554,1,36,18,2500,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3927,6649,1,60,26,3124,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3951,72,1,51,15,1741,0,12,0,0,0,0,0,0,0,0,1,0,0,0
3957,3966,1,63,22,2827,0,9,1,0,0,0,0,0,0,0,0,0,0,0
3969,2204,1,25,15,1967,0,12,0,0,0,0,0,0,0,0,1,0,0,0
3970,6473,1,26,13,2682,0,4,0,0,0,1,0,0,0,0,0,0,0,0
4041,10266,1,18,20,1855,0,7,0,0,0,0,0,0,1,0,0,0,0,0
4055,6823,1,27,2,855,0,7,0,0,0,0,0,0,1,0,0,0,0,0
4066,869,1,19,28,2222,0,12,0,0,0,0,0,0,0,0,1,0,0,0
4087,3205,1,19,23,2075,0,6,0,0,0,0,0,0,0,0,0,1,0,0
4122,6935,1,19,17,1942,0,2,0,0,0,0,0,0,0,0,0,0,1,0
4125,2891,1,35,15,3457,0,2,0,0,0,0,0,0,0,0,0,0,1,0
4128,5626,1,52,4,1992,0,3,0,0,0,0,0,1,0,0,0,0,0,0
4209,10847,1,68,18,3318,0,12,0,0,0,0,0,0,0,0,1,0,0,0
4214,6717,1,68,12,1414,0,10,0,0,1,0,0,0,0,0,0,0,0,0
4224,4775,1,52,25,1786,0,4,0,0,0,1,0,0,0,0,0,0,0,0
4288,7614,1,21,20,1423,0,11,0,1,0,0,0,0,0,0,0,0,0,0
4360,9732,1,38,11,2890,0,5,0,0,0,0,1,0,0,0,0,0,0,0
4382,9020,1,55,7,2829,1,9,1,0,0,0,0,0,0,0,0,0,0,0
4391,5763,1,55,16,763,0,4,0,0,0,1,0,0,0,0,0,0,0,0
4392,11832,1,65,4,1843,0,7,0,0,0,0,0,0,1,0,0,0,0,0
4405,934,1,64,6,2147,0,3,0,0,0,0,0,1,0,0,0,0,0,0
4451,1494,1,20,8,1867,0,11,0,1,0,0,0,0,0,0,0,0,0,0
4459,8205,1,43,18,2446,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4463,5010,1,46,19,3607,0,5,0,0,0,0,1,0,0,0,0,0,0,0
4484,1892,1,26,28,1120,0,11,0,1,0,0,0,0,0,0,0,0,0,0
4485,7197,1,30,21,1992,0,10,0,0,1,0,0,0,0,0,0,0,0,0
4545,10204,1,70,15,1424,0,5,0,0,0,0,1,0,0,0,0,0,0,0
4552,4207,1,75,22,2088,0,4,0,0,0,1,0,0,0,0,0,0,0,0
4615,10088,1,32,17,2502,0,4,0,0,0,1,0,0,0,0,0,0,0,0
4626,7730,1,53,18,2513,0,6,0,0,0,0,0,0,0,0,0,1,0,0
4645,7730,1,18,18,2351,0,6,0,0,0,0,0,0,0,0,0,1,0,0
4657,6807,1,20,25,2336,0,6,0,0,0,0,0,0,0,0,0,1,0,0
4692,9489,1,23,1,1790,1,6,0,0,0,0,0,0,0,0,0,1,0,0
4727,6218,1,22,21,2213,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4731,7048,1,39,21,1485,0,4,0,0,0,1,0,0,0,0,0,0,0,0
4737,7722,1,20,23,2708,0,4,0,0,0,1,0,0,0,0,0,0,0,0
4743,7252,1,30,4,1867,0,7,0,0,0,0,0,0,1,0,0,0,0,0
4781,9886,1,52,13,637,0,5,0,0,0,0,1,0,0,0,0,0,0,0
4786,2951,1,70,4,1994,0,7,0,0,0,0,0,0,1,0,0,0,0,0
4793,1175,1,55,26,1880,0,7,0,0,0,0,0,0,1,0,0,0,0,0
4817,3472,1,28,23,1624,0,4,0,0,0,1,0,0,0,0,0,0,0,0
4845,8093,1,38,10,2284,0,11,0,1,0,0,0,0,0,0,0,0,0,0
4847,7315,1,38,27,1030,0,5,0,0,0,0,1,0,0,0,0,0,0,0
4873,4329,1,60,13,3438,0,12,0,0,0,0,0,0,0,0,1,0,0,0
4887,614,1,35,14,1367,0,10,0,0,1,0,0,0,0,0,0,0,0,0
4928,3664,1,55,2,1455,0,6,0,0,0,0,0,0,0,0,0,1,0,0
4959,9956,1,65,5,1688,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4976,11363,1,65,4,3139,0,3,0,0,0,0,0,1,0,0,0,0,0,0
5003,6577,1,70,28,1796,0,11,0,1,0,0,0,0,0,0,0,0,0,0
5038,6958,1,35,15,2439,0,2,0,0,0,0,0,0,0,0,0,0,1,0
5168,8594,1,29,15,2489,0,2,0,0,0,0,0,0,0,0,0,0,1,0
5198,9172,1,43,28,2223,0,12,0,0,0,0,0,0,0,0,1,0,0,0
5248,451,1,50,12,1781,0,7,0,0,0,0,0,0,1,0,0,0,0,0
5287,8337,1,26,19,3389,0,2,0,0,0,0,0,0,0,0,0,0,1,0
5326,7672,1,22,29,2952,0,10,0,0,1,0,0,0,0,0,0,0,0,0
5347,2204,1,40,15,1912,0,12,0,0,0,0,0,0,0,0,1,0,0,0
5409,7715,1,45,2,1881,0,3,0,0,0,0,0,1,0,0,0,0,0,0
5440,4734,1,19,11,2031,0,9,1,0,0,0,0,0,0,0,0,0,0,0
5444,10287,1,30,29,2242,0,10,0,0,1,0,0,0,0,0,0,0,0,0
5451,7665,1,28,27,2375,0,10,0,0,1,0,0,0,0,0,0,0,0,0
5485,6899,1,30,29,2614,0,5,0,0,0,0,1,0,0,0,0,0,0,0
5570,2783,1,57,11,1395,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5578,9852,1,22,12,2528,0,9,1,0,0,0,0,0,0,0,0,0,0,0
5610,3658,1,70,23,1562,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5659,4119,1,41,10,664,0,9,1,0,0,0,0,0,0,0,0,0,0,0
5663,535,1,62,23,2493,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5729,8186,1,48,10,1371,0,11,0,1,0,0,0,0,0,0,0,0,0,0
5849,5422,1,25,15,1920,0,3,0,0,0,0,0,1,0,0,0,0,0,0
5889,9857,1,40,23,1782,0,9,1,0,0,0,0,0,0,0,0,0,0,0
5897,4541,1,21,13,2478,0,6,0,0,0,0,0,0,0,0,0,1,0,0
5959,7188,1,24,18,3566,0,12,0,0,0,0,0,0,0,0,1,0,0,0
6148,7974,1,37,27,2176,0,10,0,0,1,0,0,0,0,0,0,0,0,0
6165,3842,1,68,16,1200,0,8,0,0,0,0,0,0,0,1,0,0,0,0
6183,5886,1,18,2,1087,0,6,0,0,0,0,0,0,0,0,0,1,0,0
6203,8497,1,60,2,1887,0,7,0,0,0,0,0,0,1,0,0,0,0,0
6265,6944,1,60,6,1722,0,7,0,0,0,0,0,0,1,0,0,0,0,0
6271,7441,1,59,28,948,0,7,0,0,0,0,0,0,1,0,0,0,0,0
6286,1274,1,19,23,3466,0,4,0,0,0,1,0,0,0,0,0,0,0,0
6290,9223,1,25,20,1751,0,6,0,0,0,0,0,0,0,0,0,1,0,0
6299,9473,1,31,27,3492,0,11,0,1,0,0,0,0,0,0,0,0,0,0
6306,1611,1,23,15,1964,0,3,0,0,0,0,0,1,0,0,0,0,0,0
6312,9049,1,28,14,2247,0,8,0,0,0,0,0,0,0,1,0,0,0,0
6315,10299,1,45,12,2150,0,8,0,0,0,0,0,0,0,1,0,0,0,0
6354,2951,1,28,4,1960,0,7,0,0,0,0,0,0,1,0,0,0,0,0
6374,7713,1,28,17,1114,0,2,0,0,0,0,0,0,0,0,0,0,1,0
6459,755,1,25,1,3969,1,7,0,0,0,0,0,0,1,0,0,0,0,0
6484,9478,1,48,13,803,0,7,0,0,0,0,0,0,1,0,0,0,0,0
6515,6715,1,45,20,3479,0,5,0,0,0,0,1,0,0,0,0,0,0,0
6578,2817,1,30,25,2157,0,9,1,0,0,0,0,0,0,0,0,0,0,0
6603,1974,1,35,24,3126,0,10,0,0,1,0,0,0,0,0,0,0,0,0
6680,9060,1,48,17,1419,0,2,0,0,0,0,0,0,0,0,0,0,1,0
6732,10069,1,35,8,2640,0,11,0,1,0,0,0,0,0,0,0,0,0,0
6803,4816,1,60,17,1958,0,2,0,0,0,0,0,0,0,0,0,0,1,0
6818,4469,1,35,24,1192,0,9,1,0,0,0,0,0,0,0,0,0,0,0
6913,8975,1,27,8,1732,0,11,0,1,0,0,0,0,0,0,0,0,0,0
6923,7654,1,58,10,1916,0,12,0,0,0,0,0,0,0,0,1,0,0,0
6930,579,1,22,29,2186,0,3,0,0,0,0,0,1,0,0,0,0,0,0
6941,1072,1,55,27,1940,0,5,0,0,0,0,1,0,0,0,0,0,0,0
7036,4135,1,28,11,1441,0,5,0,0,0,0,1,0,0,0,0,0,0,0
7040,9478,1,28,13,838,0,7,0,0,0,0,0,0,1,0,0,0,0,0
7050,4892,1,36,25,1502,0,9,1,0,0,0,0,0,0,0,0,0,0,0
7079,8775,1,30,10,1363,0,7,0,0,0,0,0,0,1,0,0,0,0,0
7131,3991,1,21,22,3393,0,11,0,1,0,0,0,0,0,0,0,0,0,0
7143,1985,1,32,8,1358,0,11,0,1,0,0,0,0,0,0,0,0,0,0
7243,11761,1,26,21,2477,0,10,0,0,1,0,0,0,0,0,0,0,0,0
7262,5686,1,27,27,2607,0,11,0,1,0,0,0,0,0,0,0,0,0,0
7298,7120,1,44,16,2742,0,4,0,0,0,1,0,0,0,0,0,0,0,0
7305,7836,1,70,20,1093,0,4,0,0,0,1,0,0,0,0,0,0,0,0
7337,4996,1,45,18,638,0,10,0,0,1,0,0,0,0,0,0,0,0,0
7358,1549,1,40,15,869,0,2,0,0,0,0,0,0,0,0,0,0,1,0
7367,7309,1,18,11,1885,0,4,0,0,0,1,0,0,0,0,0,0,0,0
7427,8276,1,42,12,2826,0,8,0,0,0,0,0,0,0,1,0,0,0,0
7439,10105,1,56,16,1877,0,6,0,0,0,0,0,0,0,0,0,1,0,0
7467,2832,1,27,27,2340,0,3,0,0,0,0,0,1,0,0,0,0,0,0
7482,5969,1,25,13,1690,0,6,0,0,0,0,0,0,0,0,0,1,0,0
7486,3611,1,37,2,1547,0,7,0,0,0,0,0,0,1,0,0,0,0,0
7518,1870,1,55,29,2569,0,10,0,0,1,0,0,0,0,0,0,0,0,0
7520,1656,1,18,20,1503,0,4,0,0,0,1,0,0,0,0,0,0,0,0
7549,9854,1,21,18,1971,0,5,0,0,0,0,1,0,0,0,0,0,0,0
7570,2543,1,30,10,732,0,9,1,0,0,0,0,0,0,0,0,0,0,0
7581,528,1,62,9,1970,0,8,0,0,0,0,0,0,0,1,0,0,0,0
7590,11849,1,24,14,1849,0,8,0,0,0,0,0,0,0,1,0,0,0,0
7667,7381,1,62,21,1430,0,11,0,1,0,0,0,0,0,0,0,0,0,0
7760,11215,1,58,27,1229,0,10,0,0,1,0,0,0,0,0,0,0,0,0
7764,4573,1,18,11,1452,0,12,0,0,0,0,0,0,0,0,1,0,0,0
7821,7725,1,45,12,1123,0,9,1,0,0,0,0,0,0,0,0,0,0,0
7824,11794,1,23,20,3049,0,2,0,0,0,0,0,0,0,0,0,0,1,0
7827,9549,1,45,25,2452,0,4,0,0,0,1,0,0,0,0,0,0,0,0
7932,198,1,23,18,3236,0,10,0,0,1,0,0,0,0,0,0,0,0,0
7936,8643,1,36,6,3001,0,9,1,0,0,0,0,0,0,0,0,0,0,0
7942,6073,1,75,21,1958,0,12,0,0,0,0,0,0,0,0,1,0,0,0
7997,436,1,42,20,1835,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8048,3989,1,34,13,3066,0,6,0,0,0,0,0,0,0,0,0,1,0,0
8053,7514,1,22,6,1917,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8055,11861,1,45,20,2169,0,6,0,0,0,0,0,0,0,0,0,1,0,0
8062,1539,1,65,19,2654,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8079,4817,1,19,17,1209,0,11,0,1,0,0,0,0,0,0,0,0,0,0
8086,6944,1,24,6,2372,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8099,10239,1,21,2,1168,0,6,0,0,0,0,0,0,0,0,0,1,0,0
8117,1367,1,22,21,2501,0,4,0,0,0,1,0,0,0,0,0,0,0,0
8161,4906,1,68,20,2604,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8188,11598,1,27,15,2876,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8215,9779,1,72,25,1797,0,11,0,1,0,0,0,0,0,0,0,0,0,0
8230,11485,1,64,20,1852,0,2,0,0,0,0,0,0,0,0,0,0,1,0
8241,5003,1,25,8,1705,0,8,0,0,0,0,0,0,0,1,0,0,0,0
8255,8173,1,42,13,1849,0,8,0,0,0,0,0,0,0,1,0,0,0,0
8269,3755,1,54,18,1974,0,10,0,0,1,0,0,0,0,0,0,0,0,0
8271,11464,1,30,20,2413,0,4,0,0,0,1,0,0,0,0,0,0,0,0
8282,5881,1,20,27,2345,0,3,0,0,0,0,0,1,0,0,0,0,0,0
8330,5254,1,18,22,1642,0,9,1,0,0,0,0,0,0,0,0,0,0,0
8425,7470,1,60,10,2140,0,9,1,0,0,0,0,0,0,0,0,0,0,0
8482,604,1,32,29,2315,0,3,0,0,0,0,0,1,0,0,0,0,0,0
8505,3558,1,34,18,1466,0,12,0,0,0,0,0,0,0,0,1,0,0,0
8557,10573,1,66,12,2118,0,10,0,0,1,0,0,0,0,0,0,0,0,0
8592,5036,1,30,8,1805,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8628,10726,1,56,24,1955,0,11,0,1,0,0,0,0,0,0,0,0,0,0
8638,10545,1,55,24,2146,0,12,0,0,0,0,0,0,0,0,1,0,0,0
8661,4452,1,50,17,2391,0,2,0,0,0,0,0,0,0,0,0,0,1,0
8665,1338,1,57,2,2054,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8688,7716,1,70,15,1374,0,4,0,0,0,1,0,0,0,0,0,0,0,0
8708,9931,1,65,12,2971,0,8,0,0,0,0,0,0,0,1,0,0,0,0
8749,4545,1,23,16,2754,0,12,0,0,0,0,0,0,0,0,1,0,0,0
8750,5977,1,50,2,1593,0,6,0,0,0,0,0,0,0,0,0,1,0,0
8763,5253,1,30,20,2312,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8792,2848,1,65,21,875,0,3,0,0,0,0,0,1,0,0,0,0,0,0
8806,10430,1,36,19,3138,0,4,0,0,0,1,0,0,0,0,0,0,0,0
8863,9269,1,38,13,1741,0,6,0,0,0,0,0,0,0,0,0,1,0,0
8881,6238,1,31,22,1825,0,9,1,0,0,0,0,0,0,0,0,0,0,0
8904,11034,1,47,24,1835,0,12,0,0,0,0,0,0,0,0,1,0,0,0
8917,11274,1,45,13,464,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8928,432,1,18,14,1756,0,4,0,0,0,1,0,0,0,0,0,0,0,0
8974,6713,1,31,18,2661,0,12,0,0,0,0,0,0,0,0,1,0,0,0
9003,8876,1,25,14,3158,0,7,0,0,0,0,0,0,1,0,0,0,0,0
9008,5340,1,54,22,1162,0,12,0,0,0,0,0,0,0,0,1,0,0,0
9020,9162,1,27,17,1820,0,5,0,0,0,0,1,0,0,0,0,0,0,0
9059,4609,1,37,8,3786,0,9,1,0,0,0,0,0,0,0,0,0,0,0
9113,1669,1,24,14,2757,0,5,0,0,0,0,1,0,0,0,0,0,0,0
9160,1683,1,18,8,1551,0,11,0,1,0,0,0,0,0,0,0,0,0,0
9302,619,1,40,13,3875,0,6,0,0,0,0,0,0,0,0,0,1,0,0
9306,8496,1,58,20,1935,0,6,0,0,0,0,0,0,0,0,0,1,0,0
9324,6307,1,32,15,1028,0,6,0,0,0,0,0,0,0,0,0,1,0,0
9341,2846,1,40,21,2386,0,3,0,0,0,0,0,1,0,0,0,0,0,0
9365,10118,1,32,22,3451,0,4,0,0,0,1,0,0,0,0,0,0,0,0
9431,946,1,50,27,2372,0,10,0,0,1,0,0,0,0,0,0,0,0,0
9499,1892,1,60,28,1551,0,11,0,1,0,0,0,0,0,0,0,0,0,0
9504,9238,1,21,11,2761,0,9,1,0,0,0,0,0,0,0,0,0,0,0
9531,1439,1,65,22,2962,0,9,1,0,0,0,0,0,0,0,0,0,0,0
9561,3472,1,30,23,1985,0,4,0,0,0,1,0,0,0,0,0,0,0,0
